Donut		48	39,60₺	55,44₺		1,01	40,00	0,00
Donut Gourmet 		48	52,50₺	73,50₺		1,01	53,03	0,00
Cinnaboom (6'LI)		36	54,35₺	76,09₺		1,01	54,89	0,00
BBQ 30cm		20	82,00₺	114,80₺		1,01	82,82	0,00
Sweet Chili 30cm		20	82,00₺	114,80₺		1,01	82,82	0,00
Mamabon								
Hi Five Cheese (5 peynir)		30	49,50₺	64,35₺		1,01	50,00	0,00
Texas BBQ (piliç köfte)		30	49,50₺	64,35₺		1,01	50,00	0,00
Crumble Cookie		60	49,50₺	64,35₺		1,01	50,00	0,00
NewYork COOKİE		60	49,50₺	64,35₺		1,01	50,00	0,00
Bunny cake		48	49,50₺	64,35₺		1,01	50,00	0,00
Everest cake		48	49,50₺	64,35₺		1,01	50,00	0,00
Gold Brownie		48	49,50₺	64,35₺		1,01	50,00	0,00
Brownie		48	49,50₺	64,35₺		1,01	50,00	0,00
Kruvasan Sade Tereyağlı		40	45,73₺	59,45₺		1,01	46,19	0,00
Chesecake Frambuaz		48	76,00₺	98,80₺			0,00	0,00
Chesecake Lotus		48	76,00₺	98,80₺			0,00	0,00
Chesecake Oreo		48	76,00₺	98,80₺			0,00	0,00
950 ml Konsantreler								
Karamel Şurup 950 ml		8	199,75₺	269,66₺		1,01	201,75	0,00
Vanilya Şurup 950 ml		8	199,75₺	269,66₺		1,01	201,75	0,00
Fındık Şurup 950 ml		8	199,75₺	269,66₺		1,01	201,75	0,00
Tarçın Şurup 950 ml		8	199,75₺	269,66₺		1,01	201,75	0,00
Chaity Şurup 950 ml		8	199,75₺	269,66₺		1,01	201,75	0,00
Pumpkin Şurup 950 ml	Geçici Olarak Durduruldu	8	199,75₺	269,66₺		1,01	201,75	0,00
Creamice Base Şurup 950 ml		8	199,75₺	269,66₺		1,01	201,75	0,00
Lime Şurup 950 ml		8	199,75₺	269,66₺		1,01	201,75	0,00
Pinkberry Şurup 950 ml		8	199,75₺	269,66₺		1,01	201,75	0,00
Toasted Marshmallow 950 ml	 	8	199,75₺	269,66₺		1,01	201,75	0,00
Hibiscus Şurup 950 ml		8	199,75₺	269,66₺		1,01	201,75	0,00
Mango Şurup 950 ml		8	199,75₺	269,66₺		1,01	201,75	0,00
Şeftali Şurup 950 ml		8	199,75₺	269,66₺		1,01	201,75	0,00
Blueberry Şurup 950 ml		8	199,75₺	269,66₺		1,01	201,75	0,00
Nane Şurup 950 ml		8	199,75₺	269,66₺		1,01	201,75	0,00
Aloe Vera Şurup 950 ml		8	199,75₺	269,66₺		1,01	201,75	0,00
 Cola Natura 950 ml		8	199,75₺	269,66₺		1,01	201,75	0,00
365 şurup 950 ml		8	199,75₺	269,66₺		1,01	201,75	0,00
Popflix 950 ml		8	199,75₺	269,66₺		1,01	201,75	0,00
Narita Sakura 950 ml		8	199,75₺	269,66₺		1,01	201,75	0,00
Pecan Nuty Şurup 950 ml		8	199,75₺	269,66₺		1,01	201,75	0,00
White Chocolate sos 1*6		1	4.219,84₺	5.696,78₺		1,01	4262,04	0,00
